大家看看 http://url.cn/06Zg7N  不买也可以来凑凑人气！,广告骚扰,
方就是一个二b  cnm社会垃j,辱骂,
方方直接参与代笔《儿子韩寒》？,辱骂,
MLGB的方舟子你怎样都有话说，真的不知道该怎么骂你了　跟韩寒路金波争名气有意思吗你争的过吗！,辱骂,
”更多邪恶内涵欢迎收听【@22】,广告骚扰,
推荐一篇文章《忽悠的原理和技巧》http://url.cn/0U2Alg,广告骚扰,
你方舟子活像一只疯狗，不敢上法庭因为你没证据，你没证据就一直主观论断强词夺理,辱骂,
你妈的说人家不好，你水平高！,辱骂,
&lt;a href=\"http://url.cn/4YgdMi \"&gt;蒙奇奇 iphone4手机壳 硅胶 苹果4手机壳 苹果手机套 4s手机外壳&lt;/a&gt;,广告骚扰,
一只专咬名人的狗，搅屎棍！,辱骂,
http://url.cn/4JEFQh 房价骤降，教育改革，食品安全的具体解决方法，认同的帮忙转发下,广告骚扰,
傻逼韩粉们，傻眼了吧。。。,歧视,
他们都是裆的长期培养洗脑的产物,辱骂,
2b真多。,辱骂,
分享:韩寒疑案——福尔摩斯对韩寒事件的分析 【猫眼看人】-凯迪社区 http://url.cn/0zhEWf ,广告骚扰,
?告别单身请收听&gt;&gt;@42,广告骚扰,
愚蠢的韩粉们，傻眼了吧，你们的偶像都要逃了,歧视,
鄙视方舟子，他是美国人养的一条疯狗，一下咬这个，一下咬那个，当年xxx雇人用铁锤把他砸死就好了，现在这样半脑瘫不脑瘫的，给社会添麻烦。,辱骂,
方，一个2B中年……,辱骂,
card=47994账户密码泄露#\rhttp://url.cn/2ZSsBy ,广告骚扰,
【网易读书】曹长青：韩寒，中国文坛的最大骗局 http://url.cn/4QwL66,广告骚扰,
就在淘宝店http://url.cn/3OostJ 热线电话02081438868 不满意十天包退换!,广告骚扰,
方舟子就是个大傻逼,辱骂,
《》全集高清观看：http://url.cn/11zsFp,广告骚扰,
亲，我的店铺现有全国移动，联通，电信.Q币，游戏充值充值地址http://url.cn/2OXacc,广告骚扰,
嗨，在我们学校这TM太正常了。。。,辱骂,
炒股  散户 交流 +++++++++++++++⑧⑨⑤⑦④⑦③① 短线盈利模式 选股方案！,广告骚扰,
《》全集高清观看：http://url.cn/2BRCnG  。,广告骚扰,
《爱情呼叫转移Ⅱ：爱情左右》免费下载：http://url.cn/1VBU77,广告骚扰,
这些王八蛋，毁的中国还不够！,辱骂,
饺子热线18831155521充话费，充Q币请到http://url.cn/0AemQD   有惊喜大礼相送，先到先得！,广告骚扰,
http://url.cn/0P1LXX ◆喜欢请收听@3 r,广告骚扰,
不过是WBD教出来的！,辱骂,
校长是个b,辱骂,
我草你妈，这个社会真的是不知道怎么说了，你们这些狗日的老师，还有医生，一大半都是你妈狗屎,辱骂,
炒股进群————【７４７１ /衰６４９７】想学习炒股的进群,广告骚扰,
http://url.cn/0P1LXX ◆喜欢请收听@3,广告骚扰,
电影王朝 www.dywc.net 欢迎观看最新电影，电视剧，综艺节目， 更新很及时！,广告骚扰,
转眼到了21世纪，电灯取代了蜡烛，于是：君无戏言，这些王八果真全当了官！,辱骂,
http://url.cn/1vB7Uq ?喜欢请收听@11,广告骚扰,
《最后的礼物》免费下载：http://url.cn/0wthfV  。,广告骚扰,
【2012韩版女式新款包包 女包 大容量包 单肩斜挎包 时尚包包手提包  】http://url.cn/28dYwJ,广告骚扰,
这些人脑子被驴踢了！,辱骂,
啥B,辱骂,
【首页-夏娃爱-- 淘宝网   】足不出户，在这里买衣服.http://url.cn/0b4lv4  物超所值，全场包邮哦,广告骚扰,
太没人性了畜生,辱骂,
道歉有用~要警察干什么~我把你儿子揍成伤残~给你道歉可以不~MLGB~,辱骂,
操你妈小比崽子 死于非命 人肉搜索 没教养的东西,辱骂,
:诚信互听，在线秒、回 /抱拳从此我们彼此互听心声，成为心灵的挚友！,广告骚扰,
ta me d没有一点道德！,辱骂,
跟你媽傻逼一樣，你媽沒教你禮貌嗎？,辱骂,
你内张脸长地比盆骨都标志。,辱骂,
我给狗扔块骨头它都知道冲我摇摇尾巴，你算什么啊,辱骂,
恶搞歪歌《为什么你的老婆比我多》很搞笑，希望大家喜欢！,广告骚扰,
畜生啊，真是杯具啊，其父母连这都不如啊！,辱骂,
SB的父母教出2B的孩子不解释,辱骂,
韩国 发饰品 绝美 精致 珍珠镶钻 复古发夹 三支入;售价:9.9元 http://url.cn/0V7Bid,广告骚扰,
却抵挡不住小三的贱肉。,辱骂,
看到烂货！就不放口！,辱骂,
成功的女人白天特牛B，晚上B特牛。失败的女人白天B事多，晚上B没事。,色情污秽,
流氓女青年的基本特点：抽烟喝酒、外貌不丑、没有男友、生活靠手。,色情污秽,
教开网店，联系QQ：308506620＝,广告骚扰,
多少老总包二奶，多少二奶养靓仔。,色情污秽,
红包网 特供79元华伦天奴时尚男士牛皮单肩背包http://url.cn/267tTS,广告骚扰,
我付钱你爽我也爽而已！,色情污秽,
